CNTRY	ADMIN4	LATD	LOND	ELEV	Date	TMEAN	TMIN	TMAX	RAIN	RHMEAN	RHMIN	RHMAX
Peru	La Molina	-12.0778	-76.9488	239	2004-07-21	17.63697917	16.9	18.5	0	70.07053942	65	77
Peru	La Molina	-12.0778	-76.9488	239	2004-07-22	14.82857143	13.7	17.3	0	82	76	88
Peru	La Molina	-12.0778	-76.9488	239	2004-07-23	15.36666667	13.7	19.3	0	80.58333333	67	89
Peru	La Molina	-12.0778	-76.9488	239	2004-07-24	15.275	13.8	18.3	0	85.125	75	89
Peru	La Molina	-12.0778	-76.9488	239	2004-07-25	15.11666667	13.5	18.5	0	86.58333333	72	95
Peru	La Molina	-12.0778	-76.9488	239	2004-07-26	16.3	14.4	20.4	0	81.08333333	66	89
Peru	La Molina	-12.0778	-76.9488	239	2004-07-27	15.67083333	13.4	18.9	0	83.16666667	72	91
Peru	La Molina	-12.0778	-76.9488	239	2004-07-28	14.44166667	12.3	16.1	0	88.5	82	96
Peru	La Molina	-12.0778	-76.9488	239	2004-07-29	14.93333333	13.5	17.7	0	87.375	75	94
Peru	La Molina	-12.0778	-76.9488	239	2004-07-30	15.18333333	13.9	18.5	0	85.33333333	75	90
Peru	La Molina	-12.0778	-76.9488	239	2004-07-31	14.64166667	13.2	16.8	0	89.20833333	81	94
Peru	La Molina	-12.0778	-76.9488	239	2004-08-01	14.28333333	13.2	16.2	0	90.54166667	82	95
Peru	La Molina	-12.0778	-76.9488	239	2004-08-02	14.425	13.3	16.4	0	84.45283019	82	95
Peru	La Molina	-12.0778	-76.9488	239	2004-08-06	15.175	12.5	17.2	0	84.17241379	77	94
Peru	La Molina	-12.0778	-76.9488	239	2004-08-07	15.55789474	13.4	19.1	0	82.43859649	72	92
Peru	La Molina	-12.0778	-76.9488	239	2004-08-08	14.76287879	13.6	17.7	0	87.04477612	73	94
Peru	La Molina	-12.0778	-76.9488	239	2004-08-09	14.47474747	13.6	15.9	0	88.67708333	82	94
Peru	La Molina	-12.0778	-76.9488	239	2004-08-10	15.02626263	13.7	17.4	0	85.52083333	76	91
Peru	La Molina	-12.0778	-76.9488	239	2004-08-11	14.66944444	13.3	16.8	0	87.03472222	79	95
Peru	La Molina	-12.0778	-76.9488	239	2004-08-12	15.68251748	13.7	19.6	0	80.84722222	64	92
Peru	La Molina	-12.0778	-76.9488	239	2004-08-13	15.76319444	14.2	19.8	0	81.97916667	65	90
Peru	La Molina	-12.0778	-76.9488	239	2004-08-14	15.14097222	13.6	18.9	0	86.375	72	94
Peru	La Molina	-12.0778	-76.9488	239	2004-08-15	15.10694444	13.3	19.7	0	85.51388889	65	95
Peru	La Molina	-12.0778	-76.9488	239	2004-08-16	15.37222222	13.8	18.3	0	84.53472222	72	93
Peru	La Molina	-12.0778	-76.9488	239	2004-08-17	15.62638889	14.2	19.3	0	85.22916667	70	91
Peru	La Molina	-12.0778	-76.9488	239	2004-08-18	15.00625	14	17.2	0	90.38888889	81	95
Peru	La Molina	-12.0778	-76.9488	239	2004-08-19	14.81468531	13.9	16.4	0	91.45833333	83	95
Peru	La Molina	-12.0778	-76.9488	239	2004-08-20	14.85069444	13.7	17.2	0	90.75	80	96
Peru	La Molina	-12.0778	-76.9488	239	2004-08-21	14.53472222	13.4	16.3	0	92.125	85	96
Peru	La Molina	-12.0778	-76.9488	239	2004-08-22	14.64097222	13.8	16.4	0	91.83333333	85	96
Peru	La Molina	-12.0778	-76.9488	239	2004-08-23	14.81212121	13.5	18.4	0	89.91269841	76	95
Peru	La Molina	-12.0778	-76.9488	239	2004-08-24	15.19069767	13.7	16.1	0	88.51388889	81	95
Peru	La Molina	-12.0778	-76.9488	239	2004-08-25	14.56666667	13.9	16.8	0	83.47222222	78	90
Peru	La Molina	-12.0778	-76.9488	239	2004-08-26	14.64	13	18.8	0	88.02083333	80	94
Peru	La Molina	-12.0778	-76.9488	239	2004-08-27	14.67916667	13.1	20.1	0	84.75	71	95
Peru	La Molina	-12.0778	-76.9488	239	2004-08-28	14.78333333	13.4	17.9	0	84.93055556	81	94
Peru	La Molina	-12.0778	-76.9488	239	2004-08-29	14.72368421	13.5	18.7	0	84.0625	69	95
Peru	La Molina	-12.0778	-76.9488	239	2004-08-30	16.29444444	13.7	19.9	0	80.19444444	68	90
Peru	La Molina	-12.0778	-76.9488	239	2004-08-31	14.65555556	12	19.8	0	83.85416667	71	97
Peru	La Molina	-12.0778	-76.9488	239	2004-09-01	15.73684211	13.6	20.8	0	87.34027778	72	92
Peru	La Molina	-12.0778	-76.9488	239	2004-09-02	15.86783217	13.9	19.4	0	84.88888889	70	92
Peru	La Molina	-12.0778	-76.9488	239	2004-09-03	16.22847222	14	19.8	0	82.08333333	67	92
Peru	La Molina	-12.0778	-76.9488	239	2004-09-04	15.34375	13.4	17.4	0	87.15972222	79	93
Peru	La Molina	-12.0778	-76.9488	239	2004-09-05	15.87847222	13.9	19.1	0	85.52083333	71	94
Peru	La Molina	-12.0778	-76.9488	239	2004-09-06	16.47361111	14.5	20.2	0	84.63194444	70	94
Peru	La Molina	-12.0778	-76.9488	239	2004-09-07	17.40902778	14.8	22.1	0	83.32638889	64	94
Peru	La Molina	-12.0778	-76.9488	239	2004-09-08	17.39236111	15.3	22.1	0	84.96527778	67	94
Peru	La Molina	-12.0778	-76.9488	239	2004-09-09	17.24184397	15.2	22.1	0	85.41549296	67	94
Peru	La Molina	-12.0778	-76.9488	239	2004-09-10	15.9472	14.8	18.1	0	89.46825397	80	95
Peru	La Molina	-12.0778	-76.9488	239	2004-09-11	15.3056338	14.4	17.4	0	91.00694444	82	95
Peru	La Molina	-12.0778	-76.9488	239	2004-09-12	15.92408759	14.5	18.3	0	88.25694444	77	94
Peru	La Molina	-12.0778	-76.9488	239	2004-09-13	15.57214286	14.4	18.9	0	90.20138889	77	96
Peru	La Molina	-12.0778	-76.9488	239	2004-09-14	14.94326241	14	16.4	0	92.5	84	96
Peru	La Molina	-12.0778	-76.9488	239	2004-09-15	15.95333333	14.4	17.9	0	87.66666667	79	95
Peru	La Molina	-12.0778	-76.9488	239	2004-09-16	16.17358491	14.2	21.2	0	83.67361111	66	95
Peru	La Molina	-12.0778	-76.9488	239	2004-09-17	16.03021583	14.7	18.3	0	88.22222222	79	93
Peru	La Molina	-12.0778	-76.9488	239	2004-09-18	17.11851852	15.2	21.1	0	84.20833333	70	92
Peru	La Molina	-12.0778	-76.9488	239	2004-09-19	17.98297872	14.9	22.4	0	81.54166667	65	92
