CNTRY	ADMIN4	LATD	LOND	ELEV	Date	TMEAN	TMIN	TMAX	RAIN	RHMEAN	RHMIN	RHMAX
Peru	La Molina	-12.0778	-76.9488	239	2004-09-01	16.42117103	13.4	22.4	0	86.26726903	64	100
Peru	La Molina	-12.0778	-76.9488	239	2004-12-01	20.9264577	9.7	28.4	0	78.22261306	50	94
Peru	La Molina	-12.0778	-76.9488	239	2005-01-01	23.02137097	18.8	30.1	0	76.02688172	47	93
Peru	La Molina	-12.0778	-76.9488	239	2005-02-01	22.89731496	18.5	30.6	0	76.0014234	45	94
Peru	La Molina	-12.0778	-76.9488	239	2005-03-01	22.69245399	17.7	29.8	0	76.99462366	44	93
Peru	La Molina	-12.0778	-76.9488	239	2005-04-01	21.24194444	16.7	30.2	0	77.34444445	47	95
Peru	La Molina	-12.0778	-76.9488	239	2005-05-01	17.7875768	13.7	25.1	0	82.11750141	55	95
Peru	La Molina	-12.0778	-76.9488	239	2005-06-01	15.84410354	11.8	21.3	0	85.21261528	65	94
Peru	La Molina	-12.0778	-76.9488	239	2005-07-01	15.39032258	13.2	20.4	0	86.16736793	65	95
Peru	La Molina	-12.0778	-76.9488	239	2005-08-01	15.59502688	12.8	21	0	84.04301075	64	94
Peru	La Molina	-12.0778	-76.9488	239	2005-09-01	14.96051901	12.9	20.8	0	87.92675121	66	95
Peru	La Molina	-12.0778	-76.9488	239	2005-10-01	15.95224988	12.2	21.4	0	84.01162927	63	94
Peru	La Molina	-12.0778	-76.9488	239	2005-11-01	17.56786232	13.2	25.3	0	81.95555556	52	94
Peru	La Molina	-12.0778	-76.9488	239	2006-02-01	24.61316641	20.4	31.2	0	71.31631729	40	92
Peru	La Molina	-12.0778	-76.9488	239	2006-03-01	23.68647081	18.4	31.1	0	69.9327957	40	90
Peru	La Molina	-12.0778	-76.9488	239	2006-04-01	21.06742707	15.4	28.6	0	74.93825758	46	93
Peru	La Molina	-12.0778	-76.9488	239	2006-05-01	18.14831113	11.9	26.9	0	80.77016129	54	94
Peru	La Molina	-12.0778	-76.9488	239	2006-06-01	16.31111111	12.9	22.3	0	85.25555556	62	94
Peru	La Molina	-12.0778	-76.9488	239	2006-07-01	17.05806027	13.2	23.5	0	84.68548387	64	94
Peru	La Molina	-12.0778	-76.9488	239	2006-08-01	16.49805984	14.6	22.7	0	86.25672043	63	95
Peru	La Molina	-12.0778	-76.9488	239	2006-09-01	16.50852053	13.6	23	0	85.04637681	62	95
Peru	La Molina	-12.0778	-76.9488	239	2006-10-01	17.56667209	14.4	23.9	0	83.69853589	61	94
Peru	La Molina	-12.0778	-76.9488	239	2006-11-01	18.66904802	15.4	24.7	0	82.85190012	59	93
Peru	La Molina	-12.0778	-76.9488	239	2006-12-01	20.04311461	16.4	26.3	0	81.8454912	59	93
Peru	La Molina	-12.0778	-76.9488	239	2007-01-01	23.14558519	17.3	29.8	0	77.33867521	46	95
Peru	La Molina	-12.0778	-76.9488	239	2007-05-01	17.79085195	12.8	26.5	0	82.25067204	54	96
Peru	La Molina	-12.0778	-76.9488	239	2007-06-01	15.13487817	12.7	21.3	0	87.53294917	63	96
Peru	La Molina	-12.0778	-76.9488	239	2007-10-01	15.18415382	12.6	22.1	0	85.29186374	62	96
Peru	La Molina	-12.0778	-76.9488	239	2007-11-01	17.13371417	13.4	23.7	0	82.8	60	95
Peru	La Molina	-12.0778	-76.9488	239	2007-12-01	19.10948433	14.7	26.2	0	80.30364097	57	94
Peru	La Molina	-12.0778	-76.9488	239	2008-01-01	22.62288044	17.4	29.2	0	77.89336918	49	93
Peru	La Molina	-12.0778	-76.9488	239	2008-02-01	23.88546624	19.1	31.1	0	70.31010027	44	91
Peru	La Molina	-12.0778	-76.9488	239	2008-05-01	17.03858528	13.6	26.9	0	85.30038893	55	97
Peru	La Molina	-12.0778	-76.9488	239	2008-06-01	16.07657407	11.7	21.6	0	87.87222222	63	96
Peru	La Molina	-12.0778	-76.9488	239	2008-07-01	17.00672043	12.2	22.7	0	79.23655914	56	91
Peru	La Molina	-12.0778	-76.9488	239	2008-10-01	16.39117905	13.6	22.6	0	85.86039037	62	96
Peru	La Molina	-12.0778	-76.9488	239	2008-11-01	18.42027778	15.3	25.2	0	83.15	62	95
Peru	La Molina	-12.0778	-76.9488	239	2008-12-01	20.49391496	16.3	27.6	0	79.48374878	51	97
Peru	La Molina	-12.0778	-76.9488	239	2009-01-01	22.65740416	18.6	29	0	76.76823282	50	92
Peru	La Molina	-12.0778	-76.9488	239	2009-03-01	23.99312763	19.8	31.1	0	71.61290323	42	92
Peru	La Molina	-12.0778	-76.9488	239	2009-06-01	16.73361111	12.6	22.7	0	85.55833333	63	95
Peru	La Molina	-12.0778	-76.9488	239	2009-07-01	16.92123656	14.4	24.2	0	85.54435484	60	94
Peru	La Molina	-12.0778	-76.9488	239	2009-08-01	15.87996727	13.8	21.6	0	85.65258298	64	94
Peru	La Molina	-12.0778	-76.9488	239	2009-12-01	20.13803763	16.5	26.4	0.4	82.35565685	59	96
Peru	La Molina	-12.0778	-76.9488	239	2010-12-01	19.79560462	15.4	27.4	0.8	79.48470608	57	97
Peru	La Molina	-12.0778	-76.9488	239	2011-01-01	22.05410095	17.3	30	0.8	78.07649969	49	96
Peru	La Molina	-12.0778	-76.9488	239	2011-02-01	23.87552555	18.6	31.3	0	75.55469275	40	97
Peru	La Molina	-12.0778	-76.9488	239	2011-03-01	23.03876918	17.2	30.8	0.2	74.75555286	36	97
Peru	La Molina	-12.0778	-76.9488	239	2011-04-01	21.56310673	16.1	31	0	80.57050915	51	98
Peru	La Molina	-12.0778	-76.9488	239	2011-05-01	18.42760264	13.7	26.2	0	86.58136312	63	98
Peru	La Molina	-12.0778	-76.9488	239	2011-06-01	17.94444444	13.7	24.1	0.6	88.50018116	68	98
Peru	La Molina	-12.0778	-76.9488	239	2011-07-01	16.03192151	13.9	21.6	2.8	93.1851938	71	100
Peru	La Molina	-12.0778	-76.9488	239	2011-08-01	14.85995929	12.8	21.5	2.6	93.3736603	72	99
Peru	La Molina	-12.0778	-76.9488	239	2011-09-01	15.4954547	12.5	22.3	1.2	89.68763144	66	99
Peru	La Molina	-12.0778	-76.9488	239	2011-10-01	16.76559299	13.3	22.9	0.2	86.20615304	60	99
Peru	La Molina	-12.0778	-76.9488	239	2011-11-01	18.48949769	14.6	24.9	0.4	85.51544168	60	98
